Name,Price,Rating,Discount
"Samsung Galaxy A14 4G, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black",21349,5 out of 5,0.29
"Samsung Galaxy A03 Core, 6.5"" 32GB + 2G, 5000mAh,Dual Sim- Onyx (Grey)",12399,5 out of 5,0.23
Samsung Galaxy A04e 32GB ROM 3GB RAM 6.5'' 5000mAh Battery - Black,15999,4.6 out of 5,0.20
"Tecno Camon 20, 6.67"", 256GB + 8GB+8GB Extended RAM (Dual SIM), 5000mAh, Predawn Black",27199,None,0.22
"Samsung Galaxy A04e, 6.5"", 32GB + 3GB (Dual SIM), 13MP, Blue",15999,4.5 out of 5,0.20
"Samsung Galaxy A04s, 6.5"", 128GB + 4GB RAM (Dual SIM), 50MP,  5000mAh, Black",22299,3.9 out of 5,0.26
"Samsung Galaxy A03 Core, 6.5"" 32GB + 2G, 5000mAh,Dual Sim- Onyx",12399,None,0.17
"Tecno Camon 20, 6.67"", 256GB + 8GB+8GB Extended RAM (Dual SIM), 5000mAh, Black",27199,None,0.18
"Samsung Galaxy A14 4G, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh,Black +Free U&I Charger",21849,None,0.27
"Tecno Camon 20, 6.67"", 256GB + 8GB+8GB Extended RAM (Dual SIM), 5000mAh, Glacier Glow",27199,None,0.18
"Samsung Galaxy A04s, 6.5"", 64 GB + 4 GB RAM (Dual SIM), 50MP,  5000mAh, Awesome Black",20399,None,0.32
"Samsung Galaxy A03 Core, 6.5"" 32GB + 2G, 5000mAh,Dual Sim- (Grey) Onyx",12399,None,0.17
"Samsung Galaxy A34 5G, 6.6"", 128GB + 6GB RAM (Dual SIM), 5000mAh, Awesome Lime Green",44999,3.3 out of 5,0.10
"Samsung Galaxy A03 Core, 6.5"" 32GB + 2G, 5000mAh,Dual Sim- (Black) Onyx",12399,None,0.17
"Samsung Galaxy A34 5G, 6.6"", 128GB + 6GB RAM (Dual SIM), 5000mAh,Silver +U&I Charger",44999,None,0.15
